# Author: Diyar Erol
date,close,high,low,open,volume,apple iphone,macbook,fed_rate,us_cpi,usd_index,macro_sentiment_index
2015-06-09,28.477893829345703,28.62540218350224,28.07560157327924,28.31697624486264,224301600,28.0,73.0,0.13,237.657,106.2238,0.05869470230406737
2015-06-10,28.8042049407959,28.907011331555527,28.574002313838697,28.589646987016224,156349200,28.0,73.0,0.13,237.657,105.8037,0.055468479664754655
2015-06-11,28.7393856048584,29.09474386884714,28.714800877836893,28.871247590572576,141563600,28.0,73.0,0.13,237.657,106.0934,0.05769327542435687
2015-06-12,28.422019958496094,28.68127644753528,28.40861072807724,28.649987106463826,147544800,28.0,73.0,0.13,237.657,105.9015,0.056219549824537474
2015-06-15,28.366146087646484,28.43766482561009,28.095715806435937,28.182879215043418,175955600,28.0,73.0,0.13,237.657,105.9989,0.0569675481227262
2015-06-16,28.51812744140625,28.57400151621509,28.24322794822594,28.39073461904774,125976400,28.0,73.0,0.13,237.657,106.0473,0.057339243375624904
2015-06-17,28.451082229614254,28.5807087993593,28.325923130867128,28.544950274818408,131672400,28.0,73.0,0.13,237.657,106.058,0.05742141567326986
2015-06-18,28.58070182800293,28.67680529040624,28.43319517939621,28.435430619491505,141628800,28.0,73.0,0.13,237.657,105.102,0.05007966646312234
2015-06-19,28.294626235961918,28.56729194657224,28.249927665922023,28.542707221507957,218867600,28.0,73.0,0.13,237.657,105.4496,0.0527491141884856
2015-06-22,28.520360946655277,28.620933592430493,28.401908188920487,28.49354077871593,136157200,28.0,73.0,0.13,237.657,105.3846,0.052249936679427456
2015-06-23,28.390724182128903,28.52035239726581,28.357199408539596,28.491298502896843,121075600,28.0,73.0,0.13,237.657,105.9678,0.056728710883776845
2015-06-24,28.63210678100586,29.0098160162878,28.410845955048718,28.430959800526097,221123600,28.0,73.0,0.13,237.657,106.2522,0.05891280447725589
2015-06-25,28.495777130126957,28.87572014313876,28.495777130126957,28.79973222259295,127752400,28.0,73.0,0.13,237.657,106.1515,0.05813946332091502
2015-06-26,28.328149795532227,28.605284669149608,28.274511172767166,28.533765937082507,176267200,28.0,73.0,0.13,237.657,106.4116,0.06013694132254621
2015-06-29,27.831993103027344,28.265576457225944,27.820819311458745,28.039844723786928,196645600,28.0,73.0,0.13,237.657,106.3785,0.05988274477562583
2015-06-30,28.03314018249512,28.187353170768603,27.90574736331223,28.06442952719678,177482800,28.0,73.0,0.13,237.657,106.5191,0.06096250412598847
2015-07-01,28.294626235961918,28.37061585119911,28.15829338065675,28.3616757961629,120955200,29.0,78.0,0.13,238.034,107.0101,0.06357095408390745
2015-07-02,28.25887489318848,28.31474897249001,28.10913106475277,28.25663945257677,108844000,29.0,78.0,0.13,238.034,106.9106,0.0628068285123492
2015-07-06,28.16053009033203,28.21193498282255,27.903509038161864,27.92362458918554,112241600,29.0,78.0,0.13,238.034,107.1343,0.06452476710890775
2015-07-07,28.091251373291016,28.194059469897024,27.66213716793101,28.135949952635716,187787200,29.0,78.0,0.13,238.034,107.785,0.06952191795727913
2015-07-08,27.393943786621094,27.856581099336463,27.387239169865182,27.82082257492441,243046400,29.0,78.0,0.13,238.034,107.4734,0.0671289377753943
2015-07-09,26.8351993560791,27.726949071884263,26.645227851428672,27.68001505580413,314380000,29.0,78.0,0.13,238.034,107.5595,0.06779015598354665
2015-07-10,27.552621841430664,27.680014656134844,27.089984598016397,27.253137636917494,245418000,29.0,78.0,0.13,238.034,107.213,0.0651291558775674
2015-07-13,28.08454322814941,28.10689251501363,27.785057327716807,27.94373948113641,165762000,29.0,78.0,0.13,238.034,107.5849,0.06798521919477862
